[System]
Platform=SEANO USV
Start_Time=2026-03-26 15:51:43
Timezone=WIB

[Sensor]
Name=CTD

[Columns]
Timestamp(WIB)	Depth	Temp	Cond	Salinity	Density	SoundVel

[Data]
2026-03-26 15:51:46.784	3.008	28.065	4.21	32.467	1020.596	1534.813
2026-03-26 15:51:47.784	3.072	28.089	4.217	32.495	1020.616	1535.01
2026-03-26 15:51:48.782	3.203	28.107	4.215	32.464	1020.591	1535.086
2026-03-26 15:51:49.782	3.258	28.105	4.221	32.496	1020.618	1535.042
2026-03-26 15:51:50.784	3.343	28.044	4.215	32.467	1020.657	1534.935
2026-03-26 15:51:51.785	3.386	28.056	4.225	32.49	1020.675	1534.984
2026-03-26 15:51:52.783	3.419	28.097	4.233	32.454	1020.588	1534.974
2026-03-26 15:51:53.783	3.407	28.062	4.229	32.49	1020.628	1534.956
2026-03-26 15:51:54.785	3.388	28.112	4.238	32.471	1020.603	1535.023
2026-03-26 15:51:55.783	3.367	28.134	4.23	32.46	1020.613	1535.172
2026-03-26 15:51:56.783	3.352	28.121	4.232	32.453	1020.585	1535.116
2026-03-26 15:51:57.785	3.313	28.099	4.233	32.447	1020.598	1535.01
2026-03-26 15:51:58.783	3.313	28.108	4.24	32.456	1020.618	1535.133
2026-03-26 15:51:59.782	3.257	28.136	4.236	32.452	1020.614	1535.13
2026-03-26 15:52:00.786	3.233	28.149	4.242	32.424	1020.599	1535.158
2026-03-26 15:52:01.785	3.232	28.171	4.234	32.419	1020.571	1535.073
2026-03-26 15:52:02.783	3.179	28.161	4.249	32.425	1020.57	1535.16
2026-03-26 15:52:03.785	3.161	28.192	4.239	32.404	1020.513	1535.275
2026-03-26 15:52:04.788	3.142	28.222	4.253	32.407	1020.528	1535.274
2026-03-26 15:52:05.789	3.132	28.193	4.256	32.39	1020.499	1535.149
2026-03-26 15:52:06.785	3.082	28.196	4.237	32.366	1020.525	1535.236
2026-03-26 15:52:07.786	3.08	28.248	4.252	32.357	1020.473	1535.202
2026-03-26 15:52:08.785	3.084	28.204	4.248	32.354	1020.467	1535.185
2026-03-26 15:52:09.784	3.04	28.247	4.258	32.347	1020.507	1535.28
2026-03-26 15:52:10.783	2.99	28.258	4.243	32.354	1020.49	1535.194
2026-03-26 15:52:11.785	2.983	28.27	4.253	32.334	1020.483	1535.296
2026-03-26 15:52:12.783	2.938	28.251	4.241	32.318	1020.449	1535.155
2026-03-26 15:52:13.784	2.911	28.274	4.252	32.313	1020.433	1535.279
2026-03-26 15:52:14.783	2.823	28.29	4.254	32.29	1020.408	1535.21
2026-03-26 15:52:15.783	2.765	28.311	4.246	32.289	1020.384	1535.301
2026-03-26 15:52:16.783	2.702	28.319	4.249	32.272	1020.365	1535.282
2026-03-26 15:52:17.783	2.589	28.351	4.248	32.286	1020.379	1535.457
2026-03-26 15:52:18.788	2.478	28.338	4.248	32.255	1020.349	1535.217
2026-03-26 15:52:19.782	2.331	28.373	4.242	32.271	1020.349	1535.307
2026-03-26 15:52:20.783	2.152	28.413	4.251	32.242	1020.288	1535.467
2026-03-26 15:52:21.784	2.004	28.414	4.243	32.227	1020.285	1535.407
2026-03-26 15:52:22.783	1.831	28.478	4.247	32.247	1020.311	1535.557
2026-03-26 15:52:23.786	1.668	28.464	4.245	32.22	1020.242	1535.467
2026-03-26 15:52:24.783	1.53	28.501	4.241	32.191	1020.245	1535.587
2026-03-26 15:52:25.783	1.358	28.524	4.254	32.195	1020.22	1535.624
2026-03-26 15:52:26.785	1.16	28.592	4.239	32.192	1020.178	1535.728
2026-03-26 15:52:27.784	0.99	28.627	4.239	32.172	1020.141	1535.705
2026-03-26 15:52:28.783	0.828	28.61	4.243	32.174	1020.144	1535.715
2026-03-26 15:52:29.783	0.747	28.653	4.243	32.171	1020.167	1535.708
2026-03-26 15:52:30.783	0.577	28.678	4.235	32.137	1020.107	1535.814
2026-03-26 15:52:31.783	0.516	28.651	4.227	32.135	1020.101	1535.677
2026-03-26 15:52:32.790	0.416	28.66	4.238	32.158	1020.126	1535.614
2026-03-26 15:52:33.784	0.339	28.684	4.232	32.117	1020.049	1535.668
2026-03-26 15:52:34.782	0.314	28.73	4.228	32.11	1020.057	1535.881
2026-03-26 15:52:35.784	0.309	28.699	4.233	32.098	1020.044	1535.706
2026-03-26 15:52:36.783	0.325	28.727	4.234	32.09	1020.054	1535.759
2026-03-26 15:52:37.783	0.332	28.681	4.23	32.104	1020.079	1535.664
2026-03-26 15:52:38.782	0.389	28.7	4.217	32.082	1020.039	1535.796
2026-03-26 15:52:39.783	0.461	28.671	4.225	32.102	1020.051	1535.666
2026-03-26 15:52:40.783	0.544	28.644	4.216	32.071	1020.024	1535.677
2026-03-26 15:52:41.783	0.619	28.666	4.21	32.081	1020.079	1535.627
2026-03-26 15:52:42.783	0.672	28.631	4.21	32.055	1020.024	1535.52
2026-03-26 15:52:43.782	0.759	28.64	4.204	32.052	1020.029	1535.631
2026-03-26 15:52:44.783	0.828	28.594	4.201	32.056	1020.084	1535.562
2026-03-26 15:52:45.782	0.929	28.607	4.193	32.037	1020.049	1535.458
2026-03-26 15:52:46.783	1.017	28.6	4.193	32.062	1020.097	1535.569
2026-03-26 15:52:47.784	1.098	28.586	4.197	32.041	1020.061	1535.422
2026-03-26 15:52:48.783	1.162	28.577	4.196	32.031	1020.041	1535.421
2026-03-26 15:52:49.782	1.273	28.516	4.188	32.028	1020.089	1535.338
2026-03-26 15:52:50.786	1.319	28.5	4.176	32.023	1020.103	1535.191
2026-03-26 15:52:51.783	1.347	28.51	4.181	32.022	1020.075	1535.339
2026-03-26 15:52:52.784	1.432	28.519	4.189	32.022	1020.074	1535.259
2026-03-26 15:52:53.783	1.476	28.479	4.171	32.028	1020.073	1535.181
2026-03-26 15:52:54.783	1.513	28.453	4.177	32.014	1020.082	1535.065
2026-03-26 15:52:55.786	1.543	28.457	4.174	32.012	1020.07	1535.219
2026-03-26 15:52:56.783	1.619	28.469	4.169	31.985	1020.1	1535.19
2026-03-26 15:52:57.787	1.672	28.433	4.174	32.016	1020.138	1535.185
2026-03-26 15:52:58.782	1.757	28.395	4.158	31.997	1020.128	1535.107
2026-03-26 15:52:59.782	1.794	28.434	4.171	31.98	1020.072	1535.2
2026-03-26 15:53:00.782	1.937	28.393	4.154	31.996	1020.098	1534.991
2026-03-26 15:53:01.783	2.026	28.375	4.149	31.988	1020.131	1534.944
2026-03-26 15:53:02.783	2.106	28.365	4.151	31.997	1020.154	1534.991
2026-03-26 15:53:03.786	2.2	28.314	4.15	31.983	1020.145	1534.786
2026-03-26 15:53:04.783	2.377	28.272	4.147	31.956	1020.159	1534.668
2026-03-26 15:53:05.786	2.506	28.251	4.153	31.984	1020.173	1534.737
2026-03-26 15:53:06.784	2.649	28.256	4.152	31.95	1020.144	1534.773
2026-03-26 15:53:07.784	2.787	28.227	4.139	31.968	1020.179	1534.72
2026-03-26 15:53:08.783	2.949	28.202	4.151	31.956	1020.201	1534.633
2026-03-26 15:53:09.784	3.078	28.162	4.132	31.93	1020.186	1534.475
2026-03-26 15:53:10.783	3.235	28.135	4.142	31.949	1020.211	1534.417
2026-03-26 15:53:11.784	3.351	28.073	4.134	31.924	1020.231	1534.365
2026-03-26 15:53:12.784	3.455	28.075	4.131	31.931	1020.209	1534.388
2026-03-26 15:53:13.783	3.533	28.045	4.134	31.945	1020.23	1534.347
2026-03-26 15:53:14.783	3.668	28.033	4.131	31.915	1020.196	1534.161
2026-03-26 15:53:15.782	3.714	28.037	4.128	31.919	1020.238	1534.287
2026-03-26 15:53:16.782	3.751	28.022	4.141	31.918	1020.213	1534.309
2026-03-26 15:53:17.782	3.803	27.995	4.143	31.916	1020.258	1534.094
2026-03-26 15:53:18.783	3.787	27.975	4.138	31.906	1020.238	1534.154
2026-03-26 15:53:19.783	3.805	28.0	4.132	31.89	1020.243	1534.168
2026-03-26 15:53:20.782	3.743	27.989	4.128	31.876	1020.231	1534.05
2026-03-26 15:53:21.784	3.652	27.953	4.136	31.875	1020.19	1533.897
2026-03-26 15:53:22.782	3.609	27.988	4.137	31.886	1020.201	1534.133
2026-03-26 15:53:23.783	3.488	27.971	4.135	31.874	1020.202	1534.022
2026-03-26 15:53:24.784	3.402	27.976	4.136	31.846	1020.183	1534.058
2026-03-26 15:53:25.783	3.283	28.023	4.137	31.833	1020.16	1534.068
2026-03-26 15:53:26.783	3.113	27.997	4.146	31.835	1020.123	1533.862
2026-03-26 15:53:27.784	3.0	28.043	4.146	31.822	1020.126	1534.083
2026-03-26 15:53:28.783	2.897	28.046	4.153	31.829	1020.123	1534.116
2026-03-26 15:53:29.783	2.742	28.038	4.143	31.819	1020.088	1534.067
2026-03-26 15:53:30.783	2.619	28.044	4.139	31.79	1020.082	1534.025
2026-03-26 15:53:31.784	2.476	28.058	4.142	31.809	1020.043	1534.001
2026-03-26 15:53:32.783	2.368	28.1	4.153	31.774	1020.057	1533.939
2026-03-26 15:53:33.786	2.287	28.114	4.161	31.763	1020.0	1534.129
2026-03-26 15:53:34.784	2.156	28.099	4.155	31.773	1020.027	1533.967
2026-03-26 15:53:35.788	2.111	28.089	4.156	31.766	1019.995	1533.895
2026-03-26 15:53:36.785	1.992	28.133	4.16	31.741	1019.964	1534.115
2026-03-26 15:53:37.782	1.932	28.102	4.161	31.742	1019.974	1533.828
2026-03-26 15:53:38.782	1.88	28.133	4.16	31.749	1020.002	1534.091
2026-03-26 15:53:39.783	1.841	28.148	4.172	31.72	1019.924	1533.92
2026-03-26 15:53:40.782	1.737	28.121	4.171	31.707	1019.917	1533.975
2026-03-26 15:53:41.784	1.693	28.154	4.182	31.689	1019.907	1533.913
2026-03-26 15:53:42.784	1.663	28.145	4.168	31.676	1019.924	1534.013
2026-03-26 15:53:43.785	1.614	28.098	4.17	31.694	1019.935	1533.799
2026-03-26 15:53:44.783	1.547	28.142	4.18	31.682	1019.908	1533.845
2026-03-26 15:53:45.783	1.481	28.152	4.18	31.664	1019.881	1533.796
2026-03-26 15:53:46.784	1.377	28.132	4.192	31.669	1019.909	1533.914
2026-03-26 15:53:47.785	1.297	28.171	4.184	31.65	1019.886	1533.793
2026-03-26 15:53:48.786	1.216	28.185	4.198	31.646	1019.861	1533.903
2026-03-26 15:53:49.782	1.122	28.195	4.196	31.619	1019.851	1533.881
2026-03-26 15:53:50.783	1.004	28.19	4.186	31.618	1019.824	1533.835
2026-03-26 15:53:51.782	0.932	28.156	4.193	31.613	1019.806	1533.832
2026-03-26 15:53:52.783	0.801	28.2	4.195	31.613	1019.776	1533.855
2026-03-26 15:53:53.783	0.673	28.227	4.202	31.606	1019.788	1533.789
2026-03-26 15:53:54.783	0.582	28.243	4.196	31.579	1019.76	1533.933
2026-03-26 15:53:55.782	0.525	28.213	4.203	31.559	1019.769	1533.783
2026-03-26 15:53:56.799	0.411	28.232	4.204	31.564	1019.723	1533.752
2026-03-26 15:53:57.792	0.329	28.261	4.211	31.558	1019.733	1533.824
2026-03-26 15:53:58.786	0.299	28.243	4.216	31.544	1019.725	1533.704
2026-03-26 15:53:59.783	0.247	28.227	4.21	31.537	1019.7	1533.784
2026-03-26 15:54:00.783	0.255	28.265	4.22	31.548	1019.708	1533.942
2026-03-26 15:54:01.783	0.244	28.265	4.216	31.56	1019.694	1533.932
2026-03-26 15:54:02.784	0.317	28.203	4.225	31.54	1019.734	1533.594
2026-03-26 15:54:03.782	0.369	28.205	4.228	31.52	1019.7	1533.715
2026-03-26 15:54:04.783	0.44	28.226	4.214	31.542	1019.711	1533.739
2026-03-26 15:54:05.783	0.51	28.17	4.225	31.526	1019.754	1533.549
2026-03-26 15:54:06.783	0.657	28.154	4.213	31.528	1019.758	1533.626
2026-03-26 15:54:07.782	0.747	28.156	4.223	31.536	1019.733	1533.56
2026-03-26 15:54:08.784	0.919	28.131	4.226	31.522	1019.776	1533.491
2026-03-26 15:54:09.786	1.043	28.083	4.222	31.531	1019.794	1533.363
2026-03-26 15:54:10.783	1.23	28.09	4.227	31.531	1019.79	1533.411
2026-03-26 15:54:11.784	1.383	28.066	4.235	31.515	1019.816	1533.412
2026-03-26 15:54:12.783	1.561	28.047	4.223	31.512	1019.819	1533.387
2026-03-26 15:54:13.783	1.723	28.015	4.234	31.533	1019.85	1533.296
2026-03-26 15:54:14.785	1.889	27.97	4.217	31.537	1019.857	1533.375
2026-03-26 15:54:15.783	2.047	27.97	4.221	31.538	1019.835	1533.335
2026-03-26 15:54:16.783	2.156	27.945	4.214	31.522	1019.831	1533.265
2026-03-26 15:54:17.782	2.281	27.893	4.229	31.518	1019.879	1533.102
2026-03-26 15:54:18.784	2.384	27.88	4.213	31.553	1019.903	1533.063
2026-03-26 15:54:19.783	2.532	27.851	4.216	31.548	1019.89	1533.186
2026-03-26 15:54:20.783	2.603	27.837	4.213	31.551	1019.901	1533.16
2026-03-26 15:54:21.784	2.689	27.844	4.225	31.552	1019.951	1533.09
2026-03-26 15:54:22.783	2.71	27.838	4.214	31.563	1019.927	1533.205
2026-03-26 15:54:23.783	2.775	27.848	4.224	31.558	1019.955	1533.206
2026-03-26 15:54:24.784	2.831	27.801	4.215	31.576	1019.966	1533.039
2026-03-26 15:54:25.782	2.879	27.815	4.225	31.572	1019.979	1533.185
2026-03-26 15:54:26.784	2.905	27.807	4.21	31.598	1020.009	1533.092
2026-03-26 15:54:27.783	2.93	27.837	4.207	31.615	1019.998	1533.164
2026-03-26 15:54:28.783	2.952	27.824	4.212	31.593	1019.958	1533.145
2026-03-26 15:54:29.783	2.957	27.802	4.209	31.639	1020.025	1533.078
2026-03-26 15:54:30.783	3.019	27.831	4.207	31.614	1020.018	1533.189
2026-03-26 15:54:31.782	3.047	27.832	4.202	31.657	1020.036	1533.346
2026-03-26 15:54:32.783	3.091	27.83	4.214	31.666	1020.015	1533.364
2026-03-26 15:54:33.785	3.112	27.787	4.198	31.66	1020.019	1533.253
2026-03-26 15:54:34.782	3.204	27.82	4.203	31.686	1020.043	1533.25
2026-03-26 15:54:35.783	3.268	27.773	4.213	31.705	1020.112	1533.217
2026-03-26 15:54:36.783	3.314	27.789	4.211	31.701	1020.091	1533.308
2026-03-26 15:54:37.784	3.349	27.811	4.193	31.726	1020.104	1533.325
2026-03-26 15:54:38.784	3.382	27.764	4.193	31.718	1020.126	1533.119
2026-03-26 15:54:39.784	3.467	27.791	4.194	31.746	1020.124	1533.297
2026-03-26 15:54:40.783	3.486	27.759	4.19	31.749	1020.13	1533.255
2026-03-26 15:54:41.785	3.485	27.787	4.196	31.789	1020.184	1533.393
2026-03-26 15:54:42.788	3.489	27.808	4.198	31.801	1020.173	1533.385
2026-03-26 15:54:43.784	3.54	27.772	4.191	31.795	1020.206	1533.323
2026-03-26 15:54:44.785	3.505	27.791	4.182	31.819	1020.179	1533.452
2026-03-26 15:54:45.788	3.46	27.814	4.187	31.853	1020.211	1533.477
2026-03-26 15:54:46.783	3.415	27.8	4.175	31.862	1020.217	1533.407
2026-03-26 15:54:47.783	3.31	27.845	4.181	31.85	1020.195	1533.679
2026-03-26 15:54:48.783	3.208	27.865	4.174	31.861	1020.167	1533.542
2026-03-26 15:54:49.784	3.102	27.91	4.17	31.893	1020.175	1533.867
2026-03-26 15:54:50.783	2.956	27.943	4.182	31.925	1020.195	1533.906
2026-03-26 15:54:51.783	2.851	27.917	4.171	31.919	1020.227	1533.713
2026-03-26 15:54:52.783	2.658	27.993	4.18	31.932	1020.205	1534.077
2026-03-26 15:54:53.787	2.5	28.012	4.178	31.97	1020.198	1534.09
2026-03-26 15:54:54.787	2.307	28.037	4.177	31.98	1020.229	1534.115
2026-03-26 15:54:55.786	2.142	28.097	4.175	31.992	1020.177	1534.277
2026-03-26 15:54:56.786	1.949	28.109	4.176	31.991	1020.196	1534.314
2026-03-26 15:54:57.787	1.744	28.13	4.176	31.994	1020.189	1534.265
2026-03-26 15:54:58.782	1.594	28.15	4.16	32.015	1020.15	1534.349
2026-03-26 15:54:59.783	1.461	28.192	4.165	32.044	1020.179	1534.404
2026-03-26 15:55:00.783	1.294	28.218	4.172	32.054	1020.185	1534.5
2026-03-26 15:55:01.782	1.166	28.277	4.155	32.051	1020.151	1534.692
2026-03-26 15:55:02.786	1.022	28.298	4.155	32.095	1020.194	1534.791
2026-03-26 15:55:03.784	0.926	28.294	4.159	32.103	1020.15	1534.711
2026-03-26 15:55:04.788	0.879	28.333	4.156	32.098	1020.167	1534.892
2026-03-26 15:55:05.783	0.832	28.339	4.166	32.118	1020.145	1534.76
2026-03-26 15:55:06.784	0.767	28.337	4.151	32.13	1020.176	1534.856
2026-03-26 15:55:07.783	0.699	28.375	4.149	32.139	1020.15	1535.02
2026-03-26 15:55:08.783	0.679	28.41	4.155	32.156	1020.178	1535.111
2026-03-26 15:55:09.782	0.706	28.407	4.15	32.151	1020.187	1535.121
2026-03-26 15:55:10.782	0.694	28.404	4.155	32.172	1020.219	1535.043
2026-03-26 15:55:11.784	0.689	28.403	4.148	32.157	1020.198	1535.132
2026-03-26 15:55:12.783	0.747	28.42	4.156	32.174	1020.176	1535.049
2026-03-26 15:55:13.783	0.737	28.387	4.157	32.197	1020.192	1534.99
2026-03-26 15:55:14.783	0.742	28.407	4.152	32.201	1020.228	1535.037
2026-03-26 15:55:15.782	0.76	28.406	4.144	32.227	1020.225	1535.22
2026-03-26 15:55:16.787	0.807	28.438	4.158	32.215	1020.195	1535.181
2026-03-26 15:55:17.782	0.798	28.459	4.16	32.241	1020.24	1535.367
2026-03-26 15:55:18.785	0.814	28.423	4.159	32.231	1020.216	1535.218
2026-03-26 15:55:19.782	0.841	28.421	4.157	32.25	1020.253	1535.196
2026-03-26 15:55:20.784	0.797	28.465	4.154	32.228	1020.23	1535.349
2026-03-26 15:55:21.782	0.786	28.49	4.157	32.243	1020.214	1535.437
2026-03-26 15:55:22.783	0.816	28.489	4.145	32.247	1020.216	1535.331
2026-03-26 15:55:23.785	0.838	28.444	4.149	32.273	1020.249	1535.399
