timestamp,write_speed_Bps,cpu_percent,ram_percent,gps_hz,imu_hz,ctd_hz,adcp_hz,battery_hz,sbes_hz
2026-03-26 15:51:44.375,0.00,99.70,88.00,0.00,0.00,0.00,0.00,0.00,0.00
2026-03-26 15:51:46.185,0.00,99.50,88.40,0.00,0.00,0.00,0.00,0.00,0.00
2026-03-26 15:51:46.373,850.18,98.20,88.40,0.00,0.00,0.00,0.00,5.31,0.00
2026-03-26 15:51:47.375,917.57,96.20,88.10,0.00,0.00,1.00,1.00,1.00,1.00
2026-03-26 15:51:48.373,926.37,85.30,88.40,0.00,0.00,1.00,1.00,1.00,1.00
2026-03-26 15:51:49.378,923.40,97.50,88.40,0.00,0.00,1.00,1.00,1.00,1.00
2026-03-26 15:51:50.374,931.85,90.60,88.90,0.00,0.00,1.00,1.00,1.00,1.00
2026-03-26 15:51:51.375,920.49,90.40,89.00,0.00,0.00,1.00,1.00,1.00,1.00
2026-03-26 15:51:52.375,1735.91,76.60,89.00,4.00,4.00,1.00,1.00,1.00,1.00
2026-03-26 15:51:53.383,1965.60,84.50,89.20,3.97,3.97,0.99,0.99,0.99,0.99
2026-03-26 15:51:54.373,2002.78,91.10,89.20,4.04,4.04,1.01,1.01,1.01,1.01
2026-03-26 15:51:55.376,1980.69,71.00,89.20,3.99,3.99,1.00,1.00,1.00,1.00
2026-03-26 15:51:56.373,1984.41,70.20,89.20,4.01,4.01,1.00,1.00,1.00,1.00
2026-03-26 15:51:57.379,1960.66,79.40,89.30,3.98,3.98,0.99,0.99,0.99,0.99
2026-03-26 15:51:58.378,1986.27,73.10,89.20,4.00,4.00,1.00,1.00,1.00,1.00
2026-03-26 15:51:59.377,1980.42,71.70,89.10,4.00,4.00,1.00,1.00,1.00,1.00
2026-03-26 15:52:00.377,1989.42,71.80,89.10,4.00,4.00,1.00,1.00,1.00,1.00
2026-03-26 15:52:01.375,1850.29,86.60,89.30,3.00,4.00,1.00,1.00,1.00,1.00
2026-03-26 15:52:02.373,2129.06,83.20,89.20,5.01,4.01,1.00,1.00,1.00,1.00
2026-03-26 15:52:03.376,927.27,87.80,89.50,0.00,0.00,1.00,1.00,1.00,1.00
2026-03-26 15:52:04.373,936.76,92.80,89.50,0.00,0.00,1.00,1.00,1.00,1.00
2026-03-26 15:52:05.377,1183.29,90.00,89.50,1.00,1.00,1.00,1.00,1.00,1.00
2026-03-26 15:52:06.373,935.30,92.80,89.80,0.00,0.00,1.00,1.00,1.00,1.00
2026-03-26 15:52:07.376,1200.36,91.00,89.60,1.00,1.00,1.00,1.00,1.00,1.00
2026-03-26 15:52:08.374,1208.97,93.10,89.70,1.00,1.00,1.00,1.00,1.00,1.00
2026-03-26 15:52:09.388,1193.24,93.40,89.70,0.99,0.99,0.99,0.99,0.99,0.99
2026-03-26 15:52:10.374,3897.76,86.10,89.20,11.16,11.16,1.01,1.01,1.01,1.01
2026-03-26 15:52:11.390,1967.75,80.20,89.20,3.94,3.94,0.98,0.98,0.98,0.98
2026-03-26 15:52:12.373,2038.63,93.10,89.20,4.07,4.07,1.02,1.02,1.02,1.02
2026-03-26 15:52:13.380,2006.69,80.90,89.20,3.97,3.97,0.99,0.99,0.99,0.99
2026-03-26 15:52:14.373,2020.02,75.70,89.20,4.03,4.03,1.01,1.01,1.01,1.01
2026-03-26 15:52:15.375,1997.34,72.70,89.20,3.99,3.99,1.00,1.00,1.00,1.00
2026-03-26 15:52:16.373,2006.63,73.40,89.30,4.01,4.01,1.00,1.00,1.00,1.00
2026-03-26 15:52:17.376,2007.97,84.10,89.40,3.99,3.99,1.00,1.00,1.00,1.00
2026-03-26 15:52:18.372,2026.98,88.90,89.50,4.01,4.01,1.00,1.00,1.00,1.00
2026-03-26 15:52:19.375,2008.46,84.50,89.30,3.99,3.99,1.00,1.00,1.00,1.00
2026-03-26 15:52:20.373,2025.06,66.90,89.20,4.01,4.01,1.00,1.00,1.00,1.00
2026-03-26 15:52:21.376,2013.96,71.10,89.30,3.99,3.99,1.00,1.00,1.00,1.00
2026-03-26 15:52:22.373,2022.18,71.20,89.20,4.01,4.01,1.00,1.00,1.00,1.00
2026-03-26 15:52:23.375,2004.87,71.50,89.20,3.99,3.99,1.00,1.00,1.00,1.00
2026-03-26 15:52:24.373,2029.18,71.70,89.30,4.01,4.01,1.00,1.00,1.00,1.00
2026-03-26 15:52:25.375,2010.83,71.50,89.20,3.99,3.99,1.00,1.00,1.00,1.00
2026-03-26 15:52:26.372,2019.63,72.80,89.20,4.01,4.01,1.00,1.00,1.00,1.00
2026-03-26 15:52:27.375,2008.10,73.50,89.30,3.99,3.99,1.00,1.00,1.00,1.00
2026-03-26 15:52:28.373,2019.19,71.80,89.30,4.01,4.01,1.00,1.00,1.00,1.00
2026-03-26 15:52:29.381,2005.56,71.90,89.30,3.97,3.97,0.99,0.99,0.99,0.99
2026-03-26 15:52:30.373,2028.50,77.10,89.30,4.03,4.03,1.01,1.01,1.01,1.01
2026-03-26 15:52:31.381,2001.44,72.80,89.30,3.97,3.97,0.99,0.99,0.99,0.99
2026-03-26 15:52:32.373,1900.19,74.70,89.20,3.03,4.03,1.01,1.01,1.01,1.01
2026-03-26 15:52:33.375,2131.01,67.80,89.20,4.99,3.99,1.00,1.00,1.00,1.00
2026-03-26 15:52:34.373,2020.40,70.60,89.30,4.01,4.01,1.00,1.00,1.00,1.00
2026-03-26 15:52:35.379,1971.54,71.90,89.20,3.97,3.97,0.99,0.99,0.99,0.99
2026-03-26 15:52:36.373,2012.63,69.80,89.20,4.03,4.03,1.01,1.01,1.01,1.01
2026-03-26 15:52:37.375,2007.09,68.80,89.30,3.99,3.99,1.00,1.00,1.00,1.00
2026-03-26 15:52:38.373,2012.55,70.90,89.30,4.01,4.01,1.00,1.00,1.00,1.00
2026-03-26 15:52:39.379,1996.24,75.20,89.30,3.98,3.98,0.99,0.99,0.99,0.99
2026-03-26 15:52:40.373,2013.83,72.30,89.30,4.02,4.02,1.01,1.01,1.01,1.01
2026-03-26 15:52:41.375,2011.03,73.30,89.30,3.99,3.99,1.00,1.00,1.00,1.00
2026-03-26 15:52:42.374,2009.46,69.90,89.30,4.01,4.01,1.00,1.00,1.00,1.00
2026-03-26 15:52:43.385,1976.87,70.60,89.20,3.95,3.95,0.99,0.99,0.99,0.99
2026-03-26 15:52:44.385,1998.70,70.90,89.30,4.00,4.00,1.00,1.00,1.00,1.00
2026-03-26 15:52:45.379,2022.85,74.00,89.30,4.03,4.03,1.01,1.01,1.01,1.01
2026-03-26 15:52:46.374,2020.41,71.40,89.30,4.02,4.02,1.01,1.01,1.01,1.01
2026-03-26 15:52:47.376,1998.53,74.10,89.40,3.99,3.99,1.00,1.00,1.00,1.00
2026-03-26 15:52:48.373,2002.58,70.30,89.40,4.01,4.01,1.00,1.00,1.00,1.00
2026-03-26 15:52:49.376,1992.88,71.80,89.40,3.99,3.99,1.00,1.00,1.00,1.00
2026-03-26 15:52:50.373,1999.58,71.60,89.40,4.01,4.01,1.00,1.00,1.00,1.00
2026-03-26 15:52:51.375,1988.66,78.70,89.40,3.99,3.99,1.00,1.00,1.00,1.00
2026-03-26 15:52:52.373,1986.33,70.50,89.40,4.01,4.01,1.00,1.00,1.00,1.00
2026-03-26 15:52:53.378,1989.66,74.20,89.30,3.98,3.98,0.99,0.99,0.99,0.99
2026-03-26 15:52:54.373,2016.16,69.30,89.20,4.02,4.02,1.01,1.01,1.01,1.01
2026-03-26 15:52:55.388,1841.27,72.90,89.30,2.96,3.94,0.99,0.99,0.99,0.99
2026-03-26 15:52:56.373,2157.26,74.50,89.40,5.08,4.06,1.02,1.02,1.02,1.02
2026-03-26 15:52:57.375,1982.86,75.50,89.30,3.99,3.99,1.00,1.00,1.00,1.00
2026-03-26 15:52:58.373,1998.24,71.60,89.30,4.01,4.01,1.00,1.00,1.00,1.00
2026-03-26 15:52:59.375,1983.39,71.80,89.30,3.99,3.99,1.00,1.00,1.00,1.00
2026-03-26 15:53:00.373,1994.28,69.00,89.30,4.01,4.01,1.00,1.00,1.00,1.00
2026-03-26 15:53:01.375,1981.76,73.70,89.20,3.99,3.99,1.00,1.00,1.00,1.00
2026-03-26 15:53:02.373,1994.70,74.90,89.40,4.01,4.01,1.00,1.00,1.00,1.00
2026-03-26 15:53:03.378,1980.95,75.50,89.30,3.98,3.98,1.00,1.00,1.00,1.00
2026-03-26 15:53:04.373,1987.76,82.20,89.30,4.02,4.02,1.00,1.00,1.00,1.00
2026-03-26 15:53:05.376,1977.84,79.30,89.40,3.99,3.99,1.00,1.00,1.00,1.00
2026-03-26 15:53:06.373,1990.06,79.00,89.40,4.01,4.01,1.00,1.00,1.00,1.00
2026-03-26 15:53:07.375,1994.83,81.40,89.20,3.99,3.99,1.00,1.00,1.00,1.00
2026-03-26 15:53:08.374,2027.54,69.20,89.40,4.01,4.01,1.00,1.00,1.00,1.00
2026-03-26 15:53:09.375,2001.07,72.20,89.50,3.99,3.99,1.00,1.00,1.00,1.00
2026-03-26 15:53:10.374,2009.64,72.20,89.50,4.00,4.00,1.00,1.00,1.00,1.00
2026-03-26 15:53:11.375,2029.34,75.00,89.50,3.99,3.99,1.00,1.00,1.00,1.00
