[System]
Platform=SEANO USV
Start_Time=2026-03-27 08:08:20
Timezone=WIB

[Sensor]
Name=System Metrics

[Columns]
Timestamp(WIB)	WriteSpeed(Bps)	CPU(%)	RAM(%)	GPS_Hz	IMU_Hz	CTD_Hz	ADCP_Hz	BATTERY_Hz	SBES_Hz

[Data]
2026-03-27 08:08:21.260	0.00	71.70	37.80	0.00	0.00	0.00	0.00	0.00	0.00
2026-03-27 08:08:22.427	0.00	38.50	38.00	0.00	0.00	0.00	0.00	0.00	0.00
2026-03-27 08:08:23.260	1908.39	31.50	37.90	2.40	3.60	1.20	1.20	1.20	1.20
2026-03-27 08:08:24.261	1734.41	30.40	37.90	2.00	4.00	1.00	1.00	1.00	1.00
2026-03-27 08:08:25.261	1707.90	28.80	37.90	2.00	4.00	1.00	1.00	1.00	1.00
2026-03-27 08:08:26.261	1720.43	25.70	37.90	2.00	4.00	1.00	1.00	1.00	1.00
2026-03-27 08:08:27.261	1722.31	30.30	38.10	2.00	4.00	1.00	1.00	1.00	1.00
2026-03-27 08:08:28.261	1713.81	30.30	37.80	2.00	4.00	1.00	1.00	1.00	1.00
2026-03-27 08:08:29.260	1712.25	28.50	38.00	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 08:08:30.260	1715.01	26.00	37.90	2.00	4.00	1.00	1.00	1.00	1.00
2026-03-27 08:08:31.260	1700.40	29.60	37.80	2.00	4.00	1.00	1.00	1.00	1.00
2026-03-27 08:08:32.263	1729.18	24.70	37.70	1.99	3.99	1.00	1.00	1.00	1.00
2026-03-27 08:08:33.260	1739.46	27.20	37.80	2.01	4.01	1.00	1.00	1.00	1.00
2026-03-27 08:08:34.262	1710.23	29.10	37.90	2.00	3.99	1.00	1.00	1.00	1.00
2026-03-27 08:08:35.260	1716.96	25.10	37.80	2.00	4.01	1.00	1.00	1.00	1.00
2026-03-27 08:08:36.261	1720.07	28.70	38.00	2.00	4.00	1.00	1.00	1.00	1.00
