[System]
Platform=SEANO USV
Start_Time=2026-04-18 19:40:07
Timezone=WIB

[Sensor]
Name=ADCP

[Columns]
Timestamp(WIB)	NumCells	NumBeams	CellSizeM	BlankingDistanceM	HeadingDeg	PitchDeg	RollDeg	TemperatureC	SalinityPSU	PressureDbar	VelocityProfile

[Data]
2026-04-18 19:40:10.434	8	4	0.5	0.7	45.45	1.709	0.381	28.509	33.1	5.023	0.662;0.296;-0.283;0.007;0.744;0.182;-0.187;0.043;0.731;0.037;-0.016;0.048;0.723;-0.054;0.032;0.02;0.654;-0.167;0.133;0.034;0.626;-0.212;0.212;0.045;0.53;-0.198;0.208;0.053;0.427;-0.202;0.22;0.035
2026-04-18 19:40:11.433	8	4	0.5	0.7	45.599	1.776	0.366	28.512	33.1	5.03	0.766;0.263;-0.257;0.0;0.754;0.098;-0.094;0.021;0.756;-0.039;0.021;0.046;0.735;-0.138;0.122;0.035;0.678;-0.174;0.19;0.065;0.637;-0.23;0.248;0.047;0.524;-0.253;0.217;0.039;0.471;-0.256;0.26;0.046
2026-04-18 19:40:12.431	8	4	0.5	0.7	45.747	1.843	0.346	28.515	33.1	5.037	0.771;0.175;-0.167;0.029;0.815;0.027;-0.055;0.032;0.773;-0.092;0.053;0.051;0.744;-0.145;0.149;0.036;0.672;-0.198;0.211;0.038;0.61;-0.235;0.23;0.068;0.537;-0.284;0.259;0.055;0.469;-0.249;0.261;0.066
2026-04-18 19:40:13.430	8	4	0.5	0.7	45.895	1.908	0.323	28.518	33.099	5.045	0.852;0.127;-0.088;0.039;0.855;-0.022;0.019;0.052;0.816;-0.11;0.1;0.03;0.772;-0.197;0.18;0.06;0.736;-0.282;0.234;0.046;0.634;-0.287;0.265;0.058;0.517;-0.281;0.257;0.045;0.446;-0.284;0.258;0.04
2026-04-18 19:40:14.430	8	4	0.5	0.7	46.043	1.971	0.296	28.521	33.099	5.052	0.896;0.041;-0.022;0.036;0.895;-0.107;0.061;0.028;0.819;-0.152;0.162;0.049;0.77;-0.274;0.25;0.03;0.695;-0.27;0.272;0.05;0.633;-0.331;0.327;0.051;0.494;-0.282;0.308;0.037;0.414;-0.304;0.258;0.057
2026-04-18 19:40:15.430	8	4	0.5	0.7	46.189	2.031	0.264	28.524	33.099	5.06	0.95;-0.053;0.052;0.02;0.925;-0.15;0.142;0.039;0.88;-0.243;0.255;0.034;0.791;-0.267;0.261;0.049;0.737;-0.294;0.333;0.032;0.586;-0.347;0.31;0.048;0.508;-0.294;0.294;0.04;0.423;-0.289;0.309;0.041
2026-04-18 19:40:16.430	8	4	0.5	0.7	46.334	2.089	0.229	28.527	33.098	5.067	0.95;-0.075;0.118;0.036;0.91;-0.204;0.191;0.029;0.868;-0.277;0.266;0.049;0.766;-0.314;0.335;0.033;0.686;-0.331;0.372;0.031;0.583;-0.354;0.346;0.055;0.469;-0.316;0.356;0.027;0.408;-0.332;0.333;0.03
2026-04-18 19:40:17.430	8	4	0.5	0.7	46.478	2.144	0.19	28.53	33.098	5.075	1.01;-0.156;0.134;0.024;0.916;-0.249;0.234;0.043;0.85;-0.315;0.327;0.035;0.819;-0.387;0.337;0.043;0.671;-0.369;0.373;0.056;0.59;-0.351;0.386;0.036;0.488;-0.327;0.345;0.052;0.37;-0.294;0.322;0.017
2026-04-18 19:40:18.430	8	4	0.5	0.7	46.62	2.196	0.148	28.533	33.098	5.082	1.01;-0.251;0.239;0.056;0.979;-0.279;0.29;0.045;0.906;-0.388;0.366;0.034;0.76;-0.418;0.389;0.031;0.686;-0.403;0.381;0.039;0.594;-0.376;0.379;0.061;0.445;-0.347;0.361;0.057;0.322;-0.322;0.299;0.012
2026-04-18 19:40:19.430	8	4	0.5	0.7	46.762	2.245	0.102	28.536	33.097	5.09	1.057;-0.277;0.283;0.049;0.941;-0.373;0.353;0.032;0.891;-0.397;0.391;0.046;0.797;-0.401;0.405;0.065;0.688;-0.445;0.44;0.054;0.536;-0.386;0.391;0.058;0.443;-0.373;0.338;0.046;0.347;-0.324;0.34;0.046
2026-04-18 19:40:20.430	8	4	0.5	0.7	46.901	2.29	0.053	28.539	33.097	5.097	1.026;-0.359;0.318;0.068;0.944;-0.41;0.408;0.036;0.862;-0.457;0.441;0.042;0.762;-0.451;0.435;0.065;0.648;-0.462;0.431;0.026;0.502;-0.432;0.423;0.051;0.388;-0.371;0.383;0.022;0.294;-0.325;0.307;0.029
2026-04-18 19:40:21.430	8	4	0.5	0.7	47.039	2.331	0.001	28.542	33.096	5.104	1.039;-0.39;0.367;0.064;0.976;-0.454;0.441;0.056;0.88;-0.493;0.449;0.051;0.754;-0.449;0.484;0.028;0.619;-0.426;0.432;0.025;0.468;-0.421;0.401;0.032;0.364;-0.375;0.401;0.008;0.288;-0.294;0.306;0.011
2026-04-18 19:40:22.431	8	4	0.5	0.7	47.175	2.367	-0.054	28.545	33.096	5.112	1.071;-0.46;0.432;0.062;0.98;-0.472;0.493;0.058;0.824;-0.504;0.497;0.031;0.742;-0.472;0.517;0.03;0.565;-0.481;0.48;0.042;0.445;-0.411;0.41;0.03;0.337;-0.4;0.392;0.029;0.246;-0.294;0.291;-0.005
2026-04-18 19:40:23.431	8	4	0.5	0.7	47.309	2.4	-0.112	28.548	33.095	5.119	1.055;-0.507;0.496;0.047;0.93;-0.487;0.486;0.057;0.847;-0.519;0.514;0.041;0.665;-0.512;0.481;0.045;0.545;-0.456;0.477;0.037;0.455;-0.454;0.406;0.04;0.319;-0.35;0.399;0.023;0.195;-0.325;0.306;0.002
2026-04-18 19:40:24.431	8	4	0.5	0.7	47.441	2.428	-0.172	28.551	33.094	5.126	1.04;-0.544;0.535;0.055;0.936;-0.546;0.566;0.046;0.811;-0.517;0.57;0.044;0.691;-0.523;0.49;0.018;0.514;-0.505;0.494;0.029;0.408;-0.397;0.419;0.021;0.295;-0.342;0.344;0.02;0.145;-0.32;0.308;0.021
2026-04-18 19:40:25.429	8	4	0.5	0.7	47.571	2.452	-0.234	28.554	33.094	5.133	1.025;-0.573;0.573;0.06;0.891;-0.544;0.566;0.027;0.744;-0.548;0.542;0.032;0.656;-0.501;0.556;0.018;0.505;-0.497;0.499;0.033;0.338;-0.437;0.403;0.032;0.247;-0.363;0.387;0.02;0.163;-0.265;0.284;-0.006
2026-04-18 19:40:26.430	8	4	0.5	0.7	47.698	2.471	-0.299	28.557	33.093	5.141	0.98;-0.614;0.603;0.049;0.851;-0.579;0.617;0.037;0.71;-0.583;0.571;0.051;0.616;-0.552;0.531;0.04;0.423;-0.48;0.509;0.038;0.304;-0.399;0.388;-0.0;0.192;-0.323;0.375;0.004;0.096;-0.254;0.254;-0.014
2026-04-18 19:40:27.430	8	4	0.5	0.7	47.823	2.485	-0.365	28.56	33.092	5.148	0.963;-0.618;0.639;0.055;0.819;-0.612;0.628;0.043;0.706;-0.581;0.58;0.022;0.517;-0.536;0.551;0.022;0.385;-0.475;0.5;-0.003;0.271;-0.384;0.398;0.002;0.154;-0.364;0.345;-0.019;0.045;-0.236;0.286;-0.03
2026-04-18 19:40:28.430	8	4	0.5	0.7	47.946	2.495	-0.433	28.563	33.091	5.155	0.975;-0.663;0.667;0.062;0.781;-0.605;0.641;0.022;0.628;-0.591;0.589;0.034;0.518;-0.559;0.52;0.037;0.35;-0.477;0.478;0.007;0.255;-0.412;0.415;0.003;0.141;-0.303;0.302;0.005;0.043;-0.229;0.232;-0.034
2026-04-18 19:40:29.431	8	4	0.5	0.7	48.066	2.5	-0.502	28.565	33.09	5.162	0.939;-0.654;0.671;0.052;0.726;-0.611;0.662;0.023;0.569;-0.593;0.57;0.035;0.459;-0.554;0.526;0.023;0.301;-0.481;0.466;-0.001;0.193;-0.374;0.384;0.011;0.078;-0.293;0.292;-0.02;-0.015;-0.224;0.246;-0.019
2026-04-18 19:40:30.431	8	4	0.5	0.7	48.183	2.499	-0.573	28.568	33.09	5.169	0.859;-0.681;0.647;0.033;0.703;-0.618;0.657;0.012;0.54;-0.558;0.608;0.028;0.405;-0.536;0.522;0.029;0.26;-0.437;0.42;-0.015;0.128;-0.374;0.341;-0.009;0.06;-0.315;0.284;0.001;-0.044;-0.236;0.214;-0.03
2026-04-18 19:40:31.430	8	4	0.5	0.7	48.297	2.494	-0.644	28.571	33.089	5.176	0.813;-0.679;0.704;0.016;0.664;-0.654;0.639;0.01;0.512;-0.581;0.584;0.0;0.357;-0.516;0.508;0.007;0.222;-0.452;0.434;-0.019;0.098;-0.356;0.344;-0.023;-0.021;-0.3;0.274;-0.008;-0.101;-0.23;0.227;-0.047
2026-04-18 19:40:32.430	8	4	0.5	0.7	48.408	2.484	-0.715	28.574	33.088	5.183	0.783;-0.688;0.677;0.011;0.567;-0.646;0.654;0.033;0.41;-0.542;0.566;0.001;0.298;-0.526;0.497;0.019;0.137;-0.396;0.399;-0.012;0.005;-0.361;0.334;-0.027;-0.052;-0.278;0.228;-0.025;-0.12;-0.206;0.176;-0.04
2026-04-18 19:40:33.430	8	4	0.5	0.7	48.517	2.469	-0.787	28.577	33.087	5.19	0.694;-0.668;0.711;0.039;0.561;-0.66;0.607;0.022;0.38;-0.567;0.53;0.002;0.191;-0.456;0.479;0.013;0.086;-0.373;0.415;-0.012;0.005;-0.288;0.314;-0.02;-0.092;-0.245;0.263;-0.046;-0.179;-0.19;0.193;-0.051
2026-04-18 19:40:34.430	8	4	0.5	0.7	48.622	2.449	-0.859	28.58	33.086	5.197	0.662;-0.707;0.699;0.022;0.44;-0.647;0.598;0.029;0.31;-0.527;0.55;-0.012;0.18;-0.489;0.476;-0.013;0.011;-0.365;0.402;-0.005;-0.089;-0.265;0.306;-0.025;-0.156;-0.215;0.206;-0.017;-0.203;-0.172;0.153;-0.037
2026-04-18 19:40:35.431	8	4	0.5	0.7	48.723	2.425	-0.931	28.583	33.085	5.204	0.553;-0.675;0.691;0.016;0.422;-0.616;0.607;-0.012;0.209;-0.525;0.518;-0.013;0.104;-0.421;0.462;-0.03;-0.006;-0.321;0.351;-0.009;-0.096;-0.274;0.289;-0.03;-0.205;-0.184;0.215;-0.032;-0.205;-0.103;0.112;-0.026
2026-04-18 19:40:36.430	8	4	0.5	0.7	48.822	2.396	-1.002	28.586	33.084	5.211	0.528;-0.657;0.643;0.008;0.352;-0.6;0.569;-0.001;0.176;-0.496;0.501;-0.023;0.035;-0.407;0.422;-0.02;-0.059;-0.35;0.329;-0.007;-0.199;-0.217;0.231;-0.016;-0.212;-0.182;0.142;-0.028;-0.285;-0.082;0.085;-0.044
2026-04-18 19:40:37.431	8	4	0.5	0.7	48.917	2.363	-1.073	28.589	33.083	5.217	0.416;-0.661;0.682;-0.013;0.267;-0.565;0.597;-0.003;0.117;-0.455;0.491;-0.013;-0.047;-0.37;0.381;-0.028;-0.159;-0.292;0.292;-0.02;-0.195;-0.239;0.234;-0.019;-0.285;-0.135;0.124;-0.037;-0.294;-0.078;0.094;-0.046
2026-04-18 19:40:38.430	8	4	0.5	0.7	49.008	2.326	-1.142	28.592	33.081	5.224	0.378;-0.653;0.65;-0.016;0.158;-0.56;0.563;0.004;0.01;-0.458;0.439;-0.02;-0.089;-0.335;0.335;-0.008;-0.2;-0.263;0.253;-0.046;-0.261;-0.162;0.181;-0.06;-0.346;-0.114;0.131;-0.049;-0.333;-0.052;0.076;-0.032
2026-04-18 19:40:39.430	8	4	0.5	0.7	49.096	2.284	-1.211	28.594	33.08	5.231	0.297;-0.6;0.613;-0.017;0.102;-0.499;0.5;-0.004;-0.052;-0.392;0.416;-0.027;-0.164;-0.353;0.317;-0.012;-0.265;-0.213;0.244;-0.044;-0.322;-0.16;0.146;-0.051;-0.37;-0.109;0.097;-0.037;-0.361;-0.071;0.016;-0.066
2026-04-18 19:40:40.431	8	4	0.5	0.7	49.18	2.239	-1.278	28.597	33.079	5.238	0.172;-0.599;0.614;-0.024;-0.0;-0.501;0.476;-0.02;-0.136;-0.381;0.383;-0.037;-0.251;-0.314;0.299;-0.036;-0.313;-0.181;0.203;-0.06;-0.39;-0.125;0.115;-0.053;-0.418;-0.046;0.045;-0.053;-0.418;-0.014;0.013;-0.055
2026-04-18 19:40:41.430	8	4	0.5	0.7	49.261	2.19	-1.343	28.6	33.078	5.244	0.101;-0.532;0.567;-0.024;-0.07;-0.469;0.441;-0.03;-0.218;-0.327;0.367;-0.023;-0.28;-0.287;0.248;-0.045;-0.385;-0.201;0.207;-0.035;-0.407;-0.133;0.107;-0.052;-0.435;-0.027;0.068;-0.061;-0.414;-0.028;0.016;-0.045
2026-04-18 19:40:42.431	8	4	0.5	0.7	49.337	2.138	-1.406	28.603	33.076	5.251	-0.008;-0.526;0.496;-0.027;-0.165;-0.4;0.434;-0.027;-0.279;-0.337;0.342;-0.02;-0.347;-0.224;0.236;-0.038;-0.404;-0.143;0.138;-0.035;-0.47;-0.106;0.106;-0.052;-0.45;-0.046;0.002;-0.047;-0.433;0.029;-0.006;-0.033
2026-04-18 19:40:43.430	8	4	0.5	0.7	49.41	2.082	-1.467	28.606	33.075	5.257	-0.082;-0.508;0.459;-0.025;-0.228;-0.406;0.381;-0.016;-0.316;-0.273;0.312;-0.042;-0.446;-0.204;0.216;-0.04;-0.486;-0.145;0.141;-0.03;-0.521;-0.042;0.063;-0.045;-0.483;0.011;0.031;-0.05;-0.465;0.019;-0.024;-0.035
2026-04-18 19:40:44.431	8	4	0.5	0.7	49.479	2.024	-1.526	28.608	33.074	5.263	-0.155;-0.438;0.434;-0.034;-0.291;-0.357;0.32;-0.03;-0.433;-0.266;0.265;-0.059;-0.504;-0.175;0.167;-0.051;-0.502;-0.087;0.07;-0.061;-0.563;-0.012;0.009;-0.035;-0.539;-0.006;-0.02;-0.041;-0.468;0.029;-0.033;-0.044
2026-04-18 19:40:45.431	8	4	0.5	0.7	49.543	1.963	-1.582	28.611	33.072	5.27	-0.253;-0.398;0.385;-0.049;-0.347;-0.282;0.303;-0.045;-0.456;-0.227;0.216;-0.037;-0.542;-0.102;0.101;-0.067;-0.603;-0.03;0.073;-0.03;-0.579;0.005;0.009;-0.033;-0.563;0.067;-0.069;-0.029;-0.48;0.04;-0.04;-0.052
2026-04-18 19:40:46.431	8	4	0.5	0.7	49.604	1.9	-1.635	28.614	33.071	5.276	-0.326;-0.362;0.335;-0.028;-0.462;-0.252;0.242;-0.053;-0.568;-0.16;0.181;-0.03;-0.588;-0.099;0.092;-0.041;-0.619;0.001;0.047;-0.033;-0.642;0.024;-0.033;-0.068;-0.581;0.053;-0.077;-0.063;-0.51;0.062;-0.069;-0.054
2026-04-18 19:40:47.430	8	4	0.5	0.7	49.66	1.835	-1.685	28.617	33.07	5.282	-0.391;-0.329;0.334;-0.057;-0.503;-0.218;0.214;-0.052;-0.577;-0.132;0.115;-0.055;-0.648;-0.049;0.08;-0.033;-0.689;-0.013;-0.032;-0.051;-0.644;0.048;-0.063;-0.032;-0.596;0.076;-0.101;-0.03;-0.505;0.095;-0.115;-0.036
2026-04-18 19:40:48.430	8	4	0.5	0.7	49.713	1.768	-1.732	28.62	33.068	5.288	-0.505;-0.306;0.291;-0.046;-0.585;-0.166;0.196;-0.035;-0.651;-0.124;0.101;-0.045;-0.691;-0.0;0.011;-0.066;-0.689;0.022;-0.059;-0.037;-0.665;0.097;-0.102;-0.035;-0.621;0.119;-0.125;-0.032;-0.549;0.087;-0.129;-0.044
2026-04-18 19:40:49.430	8	4	0.5	0.7	49.761	1.7	-1.776	28.622	33.067	5.295	-0.598;-0.241;0.22;-0.06;-0.653;-0.16;0.118;-0.034;-0.696;-0.05;0.053;-0.042;-0.727;0.018;0.012;-0.04;-0.762;0.09;-0.061;-0.065;-0.693;0.068;-0.117;-0.047;-0.653;0.145;-0.144;-0.039;-0.54;0.127;-0.131;-0.012
2026-04-18 19:40:50.431	8	4	0.5	0.7	49.804	1.631	-1.816	28.625	33.065	5.301	-0.662;-0.172;0.188;-0.062;-0.727;-0.093;0.084;-0.031;-0.756;-0.02;0.047;-0.043;-0.796;0.04;-0.041;-0.061;-0.757;0.059;-0.065;-0.047;-0.745;0.117;-0.134;-0.058;-0.657;0.134;-0.101;-0.05;-0.565;0.14;-0.144;-0.047
2026-04-18 19:40:51.430	8	4	0.5	0.7	49.844	1.561	-1.852	28.628	33.064	5.307	-0.718;-0.137;0.117;-0.035;-0.775;-0.075;0.037;-0.064;-0.849;0.026;0.009;-0.041;-0.799;0.073;-0.075;-0.05;-0.811;0.126;-0.109;-0.026;-0.719;0.116;-0.114;-0.039;-0.653;0.144;-0.122;-0.024;-0.584;0.139;-0.134;-0.008
2026-04-18 19:40:52.430	8	4	0.5	0.7	49.879	1.491	-1.885	28.63	33.062	5.312	-0.794;-0.087;0.087;-0.055;-0.855;-0.019;0.023;-0.034;-0.861;0.04;-0.072;-0.047;-0.847;0.125;-0.095;-0.037;-0.832;0.113;-0.155;-0.053;-0.753;0.173;-0.146;-0.045;-0.683;0.142;-0.167;-0.046;-0.541;0.168;-0.143;-0.009
2026-04-18 19:40:53.431	8	4	0.5	0.7	49.909	1.422	-1.914	28.633	33.061	5.318	-0.873;-0.08;0.036;-0.05;-0.912;0.038;-0.029;-0.05;-0.943;0.086;-0.088;-0.048;-0.858;0.119;-0.14;-0.039;-0.81;0.159;-0.171;-0.042;-0.734;0.158;-0.15;-0.035;-0.672;0.16;-0.156;-0.037;-0.567;0.184;-0.13;-0.023
2026-04-18 19:40:54.430	8	4	0.5	0.7	49.936	1.352	-1.939	28.636	33.059	5.324	-0.919;-0.023;-0.01;-0.066;-0.974;0.085;-0.054;-0.064;-0.938;0.086;-0.089;-0.06;-0.929;0.153;-0.156;-0.06;-0.846;0.189;-0.184;-0.051;-0.769;0.161;-0.207;-0.022;-0.627;0.16;-0.149;-0.016;-0.546;0.179;-0.161;0.003
