[System]
Platform=SEANO USV
Start_Time=2026-04-18 20:27:13
Timezone=WIB

[Sensor]
Name=System Metrics

[Columns]
Timestamp(WIB)	WriteSpeed(Bps)	CPU(%)	RAM(%)	JetsonTemp(C)	GPS_Hz	IMU_Hz	CTD_Hz	ADCP_Hz	BATTERY_Hz	SBES_Hz

[Data]
2026-04-18 20:27:14.235	0.00	97.00	84.40	53.34	0.00	0.00	0.00	0.00	0.00	0.00
2026-04-18 20:27:15.378	0.00	80.90	84.50	52.59	0.00	0.00	0.00	0.00	0.00	0.00
2026-04-18 20:27:16.236	2875.20	19.40	84.60	52.03	5.83	4.66	1.17	1.17	4.66	1.17
2026-04-18 20:27:17.241	2574.99	20.60	84.60	51.94	3.98	4.97	0.99	0.99	4.97	0.99
2026-04-18 20:27:18.237	2465.04	25.80	78.40	51.88	5.02	4.02	1.00	1.00	4.02	1.00
2026-04-18 20:27:19.241	2575.38	18.00	78.40	52.03	3.98	4.98	1.00	1.00	4.98	1.00
2026-04-18 20:27:20.235	1162.30	45.30	78.40	52.03	1.01	1.01	1.01	1.01	1.01	1.01
2026-04-18 20:27:21.243	760.49	48.50	78.40	52.12	0.00	0.00	0.99	0.99	0.00	0.99
2026-04-18 20:27:22.237	1552.63	50.80	78.40	52.19	2.01	2.01	1.01	1.01	2.01	1.01
2026-04-18 20:27:23.237	1550.05	68.10	79.60	52.88	2.00	2.00	1.00	1.00	2.00	1.00
2026-04-18 20:27:24.236	2735.52	49.70	80.30	52.31	5.01	5.01	1.00	1.00	5.01	1.00
2026-04-18 20:27:25.238	2459.44	34.60	80.30	52.44	3.99	4.99	1.00	1.00	3.99	1.00
2026-04-18 20:27:26.235	2310.72	48.90	80.60	52.47	4.01	5.01	1.00	1.00	3.01	1.00
2026-04-18 20:27:27.238	2593.73	47.60	81.60	52.34	3.99	4.99	1.00	1.00	4.99	1.00
2026-04-18 20:27:28.236	2726.34	43.90	83.70	53.03	5.01	5.01	1.00	1.00	5.01	1.00
2026-04-18 20:27:29.238	2568.22	43.50	85.10	52.59	4.99	3.99	1.00	1.00	4.99	1.00
2026-04-18 20:27:30.235	2712.26	36.00	85.90	52.50	5.01	5.01	1.00	1.00	5.01	1.00
2026-04-18 20:27:31.237	2554.35	51.00	86.50	52.69	4.99	3.99	1.00	1.00	4.99	1.00
2026-04-18 20:27:32.235	2737.95	59.70	87.00	52.97	5.01	5.01	1.00	1.00	5.01	1.00
2026-04-18 20:27:33.237	2572.09	75.70	87.50	53.41	3.99	4.99	1.00	1.00	4.99	1.00
2026-04-18 20:27:34.236	2461.15	55.70	88.20	52.66	4.01	5.01	1.00	1.00	4.01	1.00
2026-04-18 20:27:35.242	2725.73	25.70	88.30	52.38	4.97	4.97	0.99	0.99	4.97	0.99
2026-04-18 20:27:36.238	2760.55	31.40	88.30	52.50	5.02	5.02	1.00	1.00	5.02	1.00
2026-04-18 20:27:37.241	2695.82	41.20	88.40	52.44	4.98	4.98	1.00	1.00	4.98	1.00
2026-04-18 20:27:38.236	2536.05	29.20	88.40	52.19	5.02	4.02	1.00	1.00	5.02	1.00
2026-04-18 20:27:39.239	2190.79	26.20	88.40	52.19	1.99	3.99	1.00	1.00	4.98	1.00
2026-04-18 20:27:40.236	2094.20	51.50	88.50	53.25	1.00	4.02	1.00	1.00	5.02	1.00
2026-04-18 20:27:41.238	2101.05	41.40	88.50	52.62	2.00	2.99	1.00	1.00	4.99	1.00
2026-04-18 20:27:42.236	2243.99	22.10	88.60	52.25	2.00	4.01	1.00	1.00	5.01	1.00
2026-04-18 20:27:43.242	2082.01	25.00	88.60	52.22	1.99	3.98	0.99	0.99	3.98	0.99
2026-04-18 20:27:44.237	2086.42	32.20	88.60	52.47	2.01	4.02	1.01	1.01	4.02	1.01
2026-04-18 20:27:45.237	2109.96	32.00	88.70	52.53	1.00	4.00	1.00	1.00	5.00	1.00
2026-04-18 20:27:46.236	2224.17	30.50	88.70	52.38	2.00	4.00	1.00	1.00	5.00	1.00
2026-04-18 20:27:47.237	2203.37	41.40	88.90	52.97	2.00	4.00	1.00	1.00	4.99	1.00
2026-04-18 20:27:48.235	2085.38	73.70	89.10	52.84	2.00	4.01	1.00	1.00	4.01	1.00
2026-04-18 20:27:49.239	2338.05	57.70	89.10	52.84	2.99	4.98	1.00	1.00	3.99	1.00
2026-04-18 20:27:50.236	2490.29	67.00	89.20	53.81	5.02	5.02	1.00	1.00	3.01	1.00
2026-04-18 20:27:51.237	2745.95	56.70	89.20	53.53	4.99	4.99	1.00	1.00	4.99	1.00
2026-04-18 20:27:52.236	2747.86	56.10	89.30	53.44	5.01	5.01	1.00	1.00	5.01	1.00
2026-04-18 20:27:53.237	2726.32	55.40	89.30	53.72	4.99	4.99	1.00	1.00	4.99	1.00
2026-04-18 20:27:54.236	2513.62	78.50	89.40	53.88	4.01	5.01	1.00	1.00	4.01	1.00
2026-04-18 20:27:55.237	2752.24	61.00	89.20	53.94	4.99	4.99	1.00	1.00	4.99	1.00
2026-04-18 20:27:56.236	2730.91	41.50	88.10	53.00	5.01	5.01	1.00	1.00	5.01	1.00
2026-04-18 20:27:57.239	2741.53	24.70	88.10	52.78	4.98	4.98	1.00	1.00	4.98	1.00
2026-04-18 20:27:58.237	2762.54	23.50	88.20	52.59	5.01	5.01	1.00	1.00	5.01	1.00
2026-04-18 20:27:59.241	2466.21	26.90	88.20	52.75	3.98	4.98	1.00	1.00	3.98	1.00
2026-04-18 20:28:00.236	2617.75	27.50	88.20	52.62	4.02	5.03	1.01	1.01	5.03	1.01
2026-04-18 20:28:01.242	2578.07	30.10	88.20	52.41	3.98	4.97	0.99	0.99	4.97	0.99
2026-04-18 20:28:02.237	2510.24	28.50	88.20	52.50	3.01	5.02	1.00	1.00	5.02	1.00
2026-04-18 20:28:03.243	2322.13	34.50	88.20	52.94	2.98	3.97	0.99	0.99	4.97	0.99
2026-04-18 20:28:04.236	2381.82	30.30	88.20	52.44	2.02	5.04	1.01	1.01	5.04	1.01
2026-04-18 20:28:05.239	2594.90	28.60	88.20	52.50	3.99	4.99	1.00	1.00	4.99	1.00
2026-04-18 20:28:06.236	2770.83	27.10	88.20	52.78	5.01	5.01	1.00	1.00	5.01	1.00
2026-04-18 20:28:07.242	2447.97	28.60	88.30	52.47	3.98	4.97	0.99	0.99	3.98	0.99
2026-04-18 20:28:08.236	2751.03	22.50	88.30	52.50	5.03	5.03	1.01	1.01	5.03	1.01
2026-04-18 20:28:09.241	2731.65	21.40	88.30	52.50	4.97	4.97	0.99	0.99	4.97	0.99
2026-04-18 20:28:10.236	2777.27	20.60	88.30	52.31	5.03	5.03	1.01	1.01	5.03	1.01
2026-04-18 20:28:11.242	2733.19	22.70	88.30	52.47	4.97	4.97	0.99	0.99	4.97	0.99
2026-04-18 20:28:12.236	2689.77	42.20	87.50	53.19	5.03	5.03	1.01	1.01	5.03	1.01
2026-04-18 20:28:13.242	2212.99	27.70	87.40	52.31	1.99	3.98	0.99	0.99	4.97	0.99
2026-04-18 20:28:14.236	2055.46	23.80	87.40	52.41	1.01	5.03	1.01	1.01	4.02	1.01
2026-04-18 20:28:15.242	2719.34	25.80	87.40	52.44	4.97	4.97	0.99	0.99	4.97	0.99
2026-04-18 20:28:16.237	2371.30	32.00	87.40	52.59	4.02	4.02	1.00	1.00	4.02	1.00
2026-04-18 20:28:17.241	2186.03	26.80	87.30	52.56	1.99	3.98	1.00	1.00	4.98	1.00
2026-04-18 20:28:18.236	2095.22	23.20	87.30	52.41	2.01	4.02	1.01	1.01	4.02	1.01
2026-04-18 20:28:19.242	2336.87	26.70	87.30	52.62	2.98	3.98	0.99	0.99	4.97	0.99
2026-04-18 20:28:20.237	2594.55	27.60	87.30	52.41	4.02	5.02	1.00	1.00	5.02	1.00
2026-04-18 20:28:21.241	2694.34	27.10	87.30	52.38	4.98	4.98	1.00	1.00	4.98	1.00
2026-04-18 20:28:22.236	2770.26	23.10	87.30	52.62	5.03	5.03	1.01	1.01	5.03	1.01
2026-04-18 20:28:23.241	2469.30	23.60	87.30	52.47	3.98	3.98	0.99	0.99	4.97	0.99
2026-04-18 20:28:24.236	2746.44	20.50	87.30	52.41	5.03	5.03	1.01	1.01	5.03	1.01
2026-04-18 20:28:25.241	2727.48	24.50	87.30	52.38	4.97	4.97	0.99	0.99	4.97	0.99
2026-04-18 20:28:26.236	2678.40	23.00	87.30	52.47	5.03	5.03	1.01	1.01	5.03	1.01
2026-04-18 20:28:27.241	2719.14	21.70	87.40	52.25	4.97	4.97	0.99	0.99	4.97	0.99
2026-04-18 20:28:28.236	2750.76	22.20	87.40	52.41	5.03	5.03	1.01	1.01	5.03	1.01
2026-04-18 20:28:29.237	2736.92	30.60	87.40	52.59	4.99	4.99	1.00	1.00	4.99	1.00
2026-04-18 20:28:30.236	2562.71	27.90	87.40	52.25	4.00	5.01	1.00	1.00	5.01	1.00
2026-04-18 20:28:31.241	2722.27	26.40	87.40	52.34	4.97	4.97	0.99	0.99	4.97	0.99
2026-04-18 20:28:32.236	2643.55	23.90	87.40	52.38	4.02	5.03	1.01	1.01	5.03	1.01
2026-04-18 20:28:33.241	2540.24	22.90	87.40	52.41	2.98	4.97	0.99	0.99	4.97	0.99
2026-04-18 20:28:34.236	2355.47	28.00	87.40	52.47	3.02	5.03	1.01	1.01	4.02	1.01
2026-04-18 20:28:35.241	2586.15	25.20	87.40	52.31	3.98	4.97	0.99	0.99	4.97	0.99
2026-04-18 20:28:36.236	2737.84	26.00	87.40	52.31	5.03	5.03	1.01	1.01	5.03	1.01
2026-04-18 20:28:37.241	2708.00	20.90	87.40	52.22	4.97	4.97	0.99	0.99	4.97	0.99
2026-04-18 20:28:38.236	2726.24	20.40	87.40	52.25	5.03	5.03	1.01	1.01	5.03	1.01
2026-04-18 20:28:39.242	2723.20	39.60	86.20	52.78	4.97	4.97	0.99	0.99	4.97	0.99
2026-04-18 20:28:40.235	2760.06	39.20	86.00	52.41	5.03	5.03	1.01	1.01	5.03	1.01
2026-04-18 20:28:41.241	2695.99	28.10	86.00	52.34	4.97	4.97	0.99	0.99	4.97	0.99
2026-04-18 20:28:42.236	2607.59	26.70	86.00	52.56	4.02	5.03	1.01	1.01	5.03	1.01
2026-04-18 20:28:43.238	2448.54	35.90	86.00	52.78	2.99	4.99	1.00	1.00	4.99	1.00
2026-04-18 20:28:44.235	2619.72	43.70	84.30	53.16	4.01	5.01	1.00	1.00	5.01	1.00
2026-04-18 20:28:45.241	2577.98	28.30	84.30	52.44	3.98	4.97	0.99	0.99	4.97	0.99
2026-04-18 20:28:46.236	2478.00	22.80	84.30	52.19	4.02	5.02	1.00	1.00	4.02	1.00
2026-04-18 20:28:47.241	2465.63	20.80	84.30	52.16	3.98	4.98	1.00	1.00	3.98	1.00
2026-04-18 20:28:48.237	2479.14	35.90	84.40	52.66	4.02	4.02	1.00	1.00	5.02	1.00
2026-04-18 20:28:49.241	2717.24	30.80	84.50	52.25	4.98	4.98	1.00	1.00	4.98	1.00
2026-04-18 20:28:50.236	2742.02	26.40	84.50	52.12	5.03	5.03	1.01	1.01	5.03	1.01
2026-04-18 20:28:51.241	2717.06	28.10	84.50	52.41	4.98	4.98	1.00	1.00	4.98	1.00
2026-04-18 20:28:52.235	2765.10	28.30	84.70	52.75	5.03	5.03	1.01	1.01	5.03	1.01
2026-04-18 20:28:53.237	2735.51	62.90	84.90	53.59	4.99	4.99	1.00	1.00	4.99	1.00
2026-04-18 20:28:54.235	2736.31	53.50	85.20	53.34	5.01	5.01	1.00	1.00	5.01	1.00
2026-04-18 20:28:55.238	1940.92	61.10	85.40	52.69	1.99	2.99	1.00	1.00	3.99	1.00
2026-04-18 20:28:56.235	2089.94	17.40	85.40	52.44	2.01	4.01	1.00	1.00	4.01	1.00
2026-04-18 20:28:57.238	2073.39	31.90	85.40	52.53	1.99	3.99	1.00	1.00	3.99	1.00
2026-04-18 20:28:58.236	1965.63	30.20	85.40	52.59	2.01	4.01	1.00	1.00	3.01	1.00
2026-04-18 20:28:59.240	2078.61	23.90	85.40	52.41	1.00	3.98	1.00	1.00	4.98	1.00
2026-04-18 20:29:00.236	1831.06	30.10	85.50	52.47	2.01	3.01	1.00	1.00	3.01	1.00
2026-04-18 20:29:01.241	2079.73	24.40	85.50	52.66	1.99	3.98	1.00	1.00	3.98	1.00
2026-04-18 20:29:02.235	1844.62	23.30	85.50	52.28	2.01	4.02	1.01	1.01	2.01	1.01
2026-04-18 20:29:03.241	2180.72	23.80	85.50	52.41	1.99	3.98	0.99	0.99	4.97	0.99
2026-04-18 20:29:04.236	2215.88	26.80	85.50	52.47	3.01	3.01	1.00	1.00	5.02	1.00
2026-04-18 20:29:05.242	2203.90	23.40	85.50	52.22	1.99	4.97	0.99	0.99	3.98	0.99
2026-04-18 20:29:06.236	2760.70	27.00	85.50	52.28	5.03	5.03	1.01	1.01	5.03	1.01
2026-04-18 20:29:07.242	2325.55	27.60	85.50	52.41	1.99	4.97	0.99	0.99	4.97	0.99
2026-04-18 20:29:08.236	2630.30	25.10	85.50	52.22	4.02	5.03	1.01	1.01	5.03	1.01
2026-04-18 20:29:09.242	2722.92	28.10	85.60	52.41	4.97	4.97	0.99	0.99	4.97	0.99
2026-04-18 20:29:10.236	2759.52	27.00	85.60	52.34	5.03	5.03	1.01	1.01	5.03	1.01
2026-04-18 20:29:11.241	2766.40	26.60	85.60	52.19	4.98	4.98	1.00	1.00	4.98	1.00
2026-04-18 20:29:12.236	2727.20	30.50	85.70	52.34	5.02	5.02	1.00	1.00	5.02	1.00
2026-04-18 20:29:13.242	2699.66	26.50	85.70	52.41	4.97	4.97	0.99	0.99	4.97	0.99
2026-04-18 20:29:14.236	2344.78	33.90	85.70	52.19	2.01	5.03	1.01	1.01	5.03	1.01
2026-04-18 20:29:15.242	2719.38	27.00	85.70	52.31	4.97	4.97	0.99	0.99	4.97	0.99
2026-04-18 20:29:16.236	2750.32	31.50	85.70	52.28	5.03	5.03	1.01	1.01	5.03	1.01
2026-04-18 20:29:17.242	2621.53	26.70	85.70	52.50	3.98	4.97	0.99	0.99	4.97	0.99
2026-04-18 20:29:18.236	2494.50	27.10	85.70	52.25	4.02	5.03	1.01	1.01	4.02	1.01
2026-04-18 20:29:19.242	2201.82	29.70	85.60	52.09	2.98	4.97	0.99	0.99	2.98	0.99
2026-04-18 20:29:20.236	2750.58	26.30	85.70	52.44	5.03	5.03	1.01	1.01	5.03	1.01
2026-04-18 20:29:21.242	2572.28	26.20	85.70	52.41	3.98	4.97	0.99	0.99	4.97	0.99
2026-04-18 20:29:22.236	2643.51	26.70	85.70	52.41	4.02	5.03	1.01	1.01	5.03	1.01
2026-04-18 20:29:23.241	2337.41	26.40	85.70	52.25	2.99	4.98	1.00	1.00	3.98	1.00
2026-04-18 20:29:24.236	2234.79	26.00	85.70	52.19	2.01	4.02	1.00	1.00	5.02	1.00
2026-04-18 20:29:25.241	2738.26	24.10	85.70	52.12	4.98	4.98	1.00	1.00	4.98	1.00
2026-04-18 20:29:26.236	2757.86	26.10	85.70	52.22	5.03	5.03	1.01	1.01	5.03	1.01
2026-04-18 20:29:27.242	2480.41	28.20	85.70	52.16	2.98	4.97	0.99	0.99	4.97	0.99
2026-04-18 20:29:28.236	2750.71	29.70	85.70	52.16	5.03	5.03	1.01	1.01	5.03	1.01
2026-04-18 20:29:29.241	2596.93	27.40	85.70	52.12	4.97	4.97	0.99	0.99	3.98	0.99
2026-04-18 20:29:30.237	2746.93	26.30	85.70	52.31	5.02	5.02	1.00	1.00	5.02	1.00
2026-04-18 20:29:31.241	2725.61	25.40	85.70	52.31	4.98	4.98	1.00	1.00	4.98	1.00
2026-04-18 20:29:32.236	2482.22	24.30	85.70	52.16	3.01	5.02	1.00	1.00	5.02	1.00
2026-04-18 20:29:33.241	2093.65	26.00	85.70	52.31	1.99	3.98	1.00	1.00	3.98	1.00
2026-04-18 20:29:34.236	2227.22	27.70	85.70	52.44	2.01	4.02	1.01	1.01	5.03	1.01
2026-04-18 20:29:35.241	2217.06	27.60	85.70	52.09	1.00	4.98	1.00	1.00	4.98	1.00
2026-04-18 20:29:36.236	2662.96	27.00	85.70	52.16	4.02	5.02	1.00	1.00	5.02	1.00
2026-04-18 20:29:37.241	2695.91	27.80	85.70	52.28	4.97	4.97	0.99	0.99	4.97	0.99
2026-04-18 20:29:38.237	2383.64	27.50	85.70	52.09	3.01	5.02	1.00	1.00	4.02	1.00
2026-04-18 20:29:39.241	2740.61	23.40	85.70	52.00	4.98	4.98	1.00	1.00	4.98	1.00
2026-04-18 20:29:40.237	2514.22	28.80	85.70	52.41	3.01	5.02	1.00	1.00	5.02	1.00
2026-04-18 20:29:41.241	2723.71	23.60	85.70	52.06	4.98	4.98	1.00	1.00	4.98	1.00
2026-04-18 20:29:42.236	2634.28	26.30	85.70	52.16	4.02	5.02	1.00	1.00	5.02	1.00
2026-04-18 20:29:43.241	2732.27	25.30	85.70	52.31	4.98	4.98	1.00	1.00	4.98	1.00
2026-04-18 20:29:44.236	2632.67	35.90	85.00	51.94	4.02	5.03	1.01	1.01	5.03	1.01
2026-04-18 20:29:45.241	2730.07	36.50	85.00	52.03	4.97	4.97	0.99	0.99	4.97	0.99
2026-04-18 20:29:46.236	2631.84	27.60	85.00	52.16	4.02	5.02	1.00	1.00	5.02	1.00
2026-04-18 20:29:47.241	2576.94	24.00	85.00	52.03	3.98	4.98	1.00	1.00	4.98	1.00
2026-04-18 20:29:48.237	2619.10	25.50	85.00	52.00	4.02	5.02	1.00	1.00	5.02	1.00
2026-04-18 20:29:49.242	2567.03	26.30	85.10	52.12	3.98	4.97	0.99	0.99	4.97	0.99
2026-04-18 20:29:50.236	2496.31	31.80	85.10	52.38	4.02	4.02	1.01	1.01	5.03	1.01
2026-04-18 20:29:51.241	2704.74	25.00	85.10	52.06	4.97	4.97	0.99	0.99	4.97	0.99
