timestamp,write_speed_Bps,cpu_percent,ram_percent,jetson_temp_c,gps_hz,imu_hz,ctd_hz,adcp_hz,battery_hz,sbes_hz
2026-05-02 08:50:17.408,0.00,95.70,81.70,60.59,0.00,0.00,0.00,0.00,0.00,0.00
2026-05-02 08:50:18.603,0.00,62.70,81.90,59.91,0.00,0.00,0.00,0.00,0.00,0.00
2026-05-02 08:50:19.407,2256.58,37.70,81.90,59.59,2.49,4.97,1.24,1.24,2.49,1.24
2026-05-02 08:50:20.414,1820.53,27.10,81.90,59.34,1.99,3.97,0.99,0.99,1.99,0.99
2026-05-02 08:50:21.408,1847.39,28.30,81.90,59.19,2.01,4.02,1.01,1.01,2.01,1.01
2026-05-02 08:50:22.412,1823.98,27.40,81.90,59.41,1.99,3.98,1.00,1.00,1.99,1.00
2026-05-02 08:50:23.408,1826.53,28.10,81.80,59.34,2.01,4.01,1.00,1.00,2.01,1.00
2026-05-02 08:50:24.410,1826.95,28.90,81.90,59.66,2.00,3.99,1.00,1.00,2.00,1.00
2026-05-02 08:50:25.408,1830.30,26.00,81.90,59.25,2.00,4.01,1.00,1.00,2.00,1.00
2026-05-02 08:50:26.414,1821.84,28.40,81.90,59.34,1.99,3.97,0.99,0.99,1.99,0.99
2026-05-02 08:50:27.407,1854.94,28.70,81.90,59.56,2.01,4.03,1.01,1.01,2.01,1.01
2026-05-02 08:50:28.415,1822.79,33.00,81.90,59.25,1.99,3.97,0.99,0.99,1.99,0.99
2026-05-02 08:50:29.407,1828.98,29.30,81.90,59.34,2.01,4.03,1.01,1.01,2.01,1.01
2026-05-02 08:50:30.414,1825.31,30.10,81.90,59.34,1.99,3.97,0.99,0.99,1.99,0.99
2026-05-02 08:50:31.408,1835.66,28.10,81.90,59.19,2.01,4.03,1.01,1.01,2.01,1.01
2026-05-02 08:50:32.415,1812.90,23.80,81.90,59.19,1.99,3.97,0.99,0.99,1.99,0.99
2026-05-02 08:50:33.408,1853.52,24.80,81.90,59.41,2.01,4.03,1.01,1.01,2.01,1.01
2026-05-02 08:50:34.410,1828.26,26.90,81.90,59.69,2.00,3.99,1.00,1.00,2.00,1.00
2026-05-02 08:50:35.408,1844.00,25.50,81.90,59.22,2.00,4.01,1.00,1.00,2.00,1.00
2026-05-02 08:50:36.415,1820.24,28.00,81.90,59.69,1.98,3.97,0.99,0.99,1.98,0.99
2026-05-02 08:50:37.408,1855.52,30.20,81.90,59.22,2.01,4.03,1.01,1.01,2.01,1.01
2026-05-02 08:50:38.415,1829.09,23.80,81.90,59.38,1.99,3.97,0.99,0.99,1.99,0.99
2026-05-02 08:50:39.407,1862.47,26.90,81.90,59.41,2.02,4.03,1.01,1.01,2.02,1.01
2026-05-02 08:50:40.414,1836.46,26.30,82.00,59.22,1.99,3.98,0.99,0.99,1.99,0.99
2026-05-02 08:50:41.408,1855.19,26.70,82.00,59.19,2.01,4.02,1.01,1.01,2.01,1.01
2026-05-02 08:50:42.414,1813.38,24.80,81.90,59.28,1.99,3.98,0.99,0.99,1.99,0.99
2026-05-02 08:50:43.408,1851.89,23.50,81.90,59.31,2.01,4.02,1.01,1.01,2.01,1.01
2026-05-02 08:50:44.410,1852.88,26.20,81.90,59.56,2.00,3.99,1.00,1.00,2.00,1.00
2026-05-02 08:50:45.408,1852.95,27.00,81.90,59.66,2.00,4.01,1.00,1.00,2.00,1.00
2026-05-02 08:50:46.413,1830.55,30.00,81.90,59.22,1.99,3.98,0.99,0.99,1.99,0.99
2026-05-02 08:50:47.408,1858.35,25.30,82.00,59.47,2.01,4.02,1.01,1.01,2.01,1.01
2026-05-02 08:50:48.415,1847.47,24.60,82.00,59.28,1.99,3.97,0.99,0.99,1.99,0.99
2026-05-02 08:50:49.408,1865.97,25.40,82.00,59.31,2.01,4.03,1.01,1.01,2.01,1.01
2026-05-02 08:50:50.414,1853.38,22.90,82.00,59.50,1.99,3.98,0.99,0.99,1.99,0.99
2026-05-02 08:50:51.408,1858.95,26.70,82.00,59.22,2.01,4.02,1.01,1.01,2.01,1.01
2026-05-02 08:50:52.413,1854.49,24.40,82.00,59.31,1.99,3.98,0.99,0.99,1.99,0.99
2026-05-02 08:50:53.408,1867.59,25.40,82.00,59.47,2.01,4.02,1.01,1.01,2.01,1.01
2026-05-02 08:50:54.410,1861.54,29.50,82.00,59.44,2.00,3.99,1.00,1.00,2.00,1.00
2026-05-02 08:50:55.408,1871.19,26.80,82.00,59.50,2.01,4.01,1.00,1.00,2.01,1.00
2026-05-02 08:50:56.414,1852.53,25.00,82.00,59.47,1.99,3.98,0.99,0.99,1.99,0.99
2026-05-02 08:50:57.408,1865.43,25.20,82.00,59.19,2.01,4.02,1.01,1.01,2.01,1.01
2026-05-02 08:50:58.414,1846.54,24.40,82.00,59.31,1.99,3.98,0.99,0.99,1.99,0.99
2026-05-02 08:50:59.408,1881.09,27.30,82.00,59.41,2.01,4.02,1.01,1.01,2.01,1.01
2026-05-02 08:51:00.414,1865.00,25.20,82.00,59.19,1.99,3.98,0.99,0.99,1.99,0.99
2026-05-02 08:51:01.408,1879.61,25.70,82.00,59.22,2.01,4.02,1.01,1.01,2.01,1.01
2026-05-02 08:51:02.412,1851.51,24.40,82.00,59.47,1.99,3.98,1.00,1.00,1.99,1.00
2026-05-02 08:51:03.407,1867.26,28.80,82.00,59.62,2.01,4.02,1.00,1.00,2.01,1.00
2026-05-02 08:51:04.414,1858.57,25.10,82.00,59.19,1.99,3.98,0.99,0.99,1.99,0.99
2026-05-02 08:51:05.408,1860.78,23.80,82.00,59.47,2.01,4.02,1.01,1.01,2.01,1.01
2026-05-02 08:51:06.414,1846.26,23.10,82.00,59.50,1.99,3.97,0.99,0.99,1.99,0.99
2026-05-02 08:51:07.408,1862.09,23.70,82.00,59.31,2.01,4.03,1.01,1.01,2.01,1.01
2026-05-02 08:51:08.415,1846.37,23.20,82.00,59.25,1.99,3.97,0.99,0.99,1.99,0.99
2026-05-02 08:51:09.407,1872.27,25.20,82.00,59.41,2.02,4.03,1.01,1.01,2.02,1.01
2026-05-02 08:51:10.414,1842.00,24.90,82.00,59.38,1.99,3.97,0.99,0.99,1.99,0.99
2026-05-02 08:51:11.408,1856.86,29.60,82.00,59.44,2.01,4.02,1.01,1.01,2.01,1.01
2026-05-02 08:51:12.410,1852.23,31.40,82.00,59.47,2.00,3.99,1.00,1.00,2.00,1.00
2026-05-02 08:51:13.407,1860.95,25.00,82.10,59.28,2.01,4.01,1.00,1.00,2.01,1.00
2026-05-02 08:51:14.415,1838.05,28.50,81.80,59.44,1.98,3.97,0.99,0.99,1.98,0.99
2026-05-02 08:51:15.408,1873.52,25.00,81.80,59.53,2.01,4.03,1.01,1.01,2.01,1.01
2026-05-02 08:51:16.414,1839.11,25.20,81.80,59.28,1.99,3.98,0.99,0.99,1.99,0.99
2026-05-02 08:51:17.408,1870.70,25.40,81.80,59.31,2.01,4.02,1.01,1.01,2.01,1.01
2026-05-02 08:51:18.417,1831.59,23.10,81.80,59.62,1.98,3.97,0.99,0.99,1.98,0.99
2026-05-02 08:51:19.408,1858.21,26.80,81.80,59.28,2.02,4.03,1.01,1.01,2.02,1.01
2026-05-02 08:51:20.414,1845.42,24.40,81.90,59.34,1.99,3.98,0.99,0.99,1.99,0.99
2026-05-02 08:51:21.407,1868.41,32.10,81.90,59.69,2.01,4.03,1.01,1.01,2.01,1.01
2026-05-02 08:51:22.415,1836.61,25.30,81.90,59.41,1.99,3.97,0.99,0.99,1.99,0.99
2026-05-02 08:51:23.409,1835.21,26.40,81.90,59.31,2.01,4.02,1.01,1.01,2.01,1.01
2026-05-02 08:51:24.415,1829.94,34.00,81.90,59.72,1.99,3.97,0.99,0.99,1.99,0.99
2026-05-02 08:51:25.408,1841.74,33.70,81.90,59.69,2.02,4.03,1.01,1.01,2.02,1.01
2026-05-02 08:51:26.415,1826.77,33.20,82.00,59.47,1.99,3.97,0.99,0.99,1.99,0.99
2026-05-02 08:51:27.408,1896.39,36.40,82.00,59.59,2.01,4.03,1.01,1.01,2.01,1.01
2026-05-02 08:51:28.413,1830.33,29.10,82.00,59.62,1.99,3.98,1.00,1.00,1.99,1.00
2026-05-02 08:51:29.408,1847.81,26.70,82.00,59.41,2.01,4.02,1.00,1.00,2.01,1.00
2026-05-02 08:51:30.416,1822.66,31.70,82.00,59.53,1.99,3.97,0.99,0.99,1.99,0.99
2026-05-02 08:51:31.408,1856.30,25.80,82.00,59.47,2.02,4.03,1.01,1.01,2.02,1.01
2026-05-02 08:51:32.412,1813.79,23.60,82.00,59.53,1.99,3.98,1.00,1.00,1.99,1.00
2026-05-02 08:51:33.408,1830.09,23.60,82.00,59.59,2.01,4.02,1.00,1.00,2.01,1.00
2026-05-02 08:51:34.414,1820.60,25.40,82.00,59.72,1.99,3.98,0.99,0.99,1.99,0.99
2026-05-02 08:51:35.408,1847.71,25.20,82.00,59.41,2.01,4.03,1.01,1.01,2.01,1.01
2026-05-02 08:51:36.414,1826.27,26.60,82.00,59.44,1.99,3.97,0.99,0.99,1.99,0.99
2026-05-02 08:51:37.408,1842.19,25.50,82.00,59.69,2.01,4.03,1.01,1.01,2.01,1.01
2026-05-02 08:51:38.413,1816.53,23.50,82.00,59.62,1.99,3.98,0.99,0.99,1.99,0.99
2026-05-02 08:51:39.409,1844.37,33.30,82.00,59.69,2.01,4.02,1.00,1.00,2.01,1.00
2026-05-02 08:51:40.414,1823.38,25.30,82.00,59.66,1.99,3.98,0.99,0.99,1.99,0.99
2026-05-02 08:51:41.408,1844.32,25.90,82.00,59.59,2.01,4.03,1.01,1.01,2.01,1.01
2026-05-02 08:51:42.414,1826.96,25.10,82.00,59.41,1.99,3.98,0.99,0.99,1.99,0.99
2026-05-02 08:51:43.408,1853.78,24.20,82.00,59.66,2.01,4.02,1.01,1.01,2.01,1.01
